Scenario,Replication,numSorties,AvgUnsched,timeQueueMx,serviceUtil,mxUtil,crewChiefUtil,altSorties
Scenario1,1,740,1.36666666666667,3.79595649401372,82.8944137998637,82.0048277285689,96.4415552708933,824
Scenario1,2,772,1.66666666666667,4.3078942395681,84.2292729133245,85.808330151896,98.3259272413615,828
Scenario1,3,720,1.63333333333333,3.70900673093038,82.5138832632365,84.1214961098849,96.2926818777938,808
Scenario1,4,744,1.56666666666667,4.05775097671283,82.3029304648652,82.5618877348815,96.1264438239579,820
Scenario1,5,768,1.5,3.12667679432072,83.8506047246292,83.753497030529,97.4502920425021,836
Scenario1,6,760,1.26666666666667,3.75252677405927,83.3295974262821,84.6574221907789,97.2861372734422,828
Scenario1,7,712,1.36666666666667,4.0858284186266,82.7377511970549,86.3500991079079,96.8245629826003,804
Scenario1,8,748,1.23333333333333,4.39590507278043,83.1420547189573,81.9815055202739,96.5157884888431,824
Scenario1,9,760,1.66666666666667,4.68995066665751,83.3008800992235,90.5925879678761,98.8071971574299,816
Scenario1,10,748,1.23333333333333,4.56229004417793,83.5379890553812,81.3339445526307,96.4158050707265,828
Scenario1,11,764,1,4.95002032215926,83.7487630834211,80.9860179391439,96.9389340476068,836
Scenario1,12,768,1.3,3.49518421099055,83.6992205217998,81.0318444536241,96.756141889213,832
Scenario1,13,752,1.46666666666667,4.46281227353409,82.7073963829281,84.3055033282501,96.5410993450931,820
Scenario1,14,748,1.26666666666667,3.14068245104255,83.4601304118056,82.5725146416595,97.0288688824608,828
Scenario1,15,752,1.6,4.16449890805916,84.2041962576749,87.0006442767266,98.2628407576508,816
Scenario1,16,756,1.33333333333333,3.71749608175439,83.4681787514192,80.9860908153766,96.7844521768489,832
Scenario1,17,752,1.2,3.41893781571737,84.1017404172671,81.3792560077921,97.1910421071612,832
Scenario1,18,760,1.4,4.20433042593109,83.5091105471755,85.5444506292184,97.5719567928478,828
Scenario1,19,764,1.2,3.8212530672552,83.4902813297231,81.5072782359501,96.797557970582,832
Scenario1,20,768,0.833333333333333,3.75644326616682,83.578981353591,80.8910055918855,96.792271609158,840
Scenario2,1,676,1.33333333333333,3.90853325954532,96.9515153288517,99.6193570812293,85.5018749167547,732
Scenario2,2,640,1.43333333333333,4.75015415747538,96.6553021921624,98.7274797628927,84.8450178905848,712
Scenario2,3,632,1.43333333333333,4.52973935105183,96.1797156831863,98.1828992725651,84.4745195685956,708
